date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag,year,month,quarter,production_month,oil_rate_bbl_month,wc_category
2023-01-01,W-01,Assam,Lakwa,hyperbolic,620.31,15.98,1307.7,18609.0,0,2023,1,1,0,18609.0,Low (<25%)
2023-02-01,W-01,Assam,Lakwa,hyperbolic,557.92,16.1,1274.3,35347.0,0,2023,2,1,1,16738.0,Low (<25%)
2023-03-01,W-01,Assam,Lakwa,hyperbolic,504.53,22.09,1201.6,50483.0,0,2023,3,1,2,15136.0,Low (<25%)
2023-04-01,W-01,Assam,Lakwa,hyperbolic,493.61,20.74,1178.5,65291.0,0,2023,4,2,3,14808.0,Low (<25%)
2023-05-01,W-01,Assam,Lakwa,hyperbolic,408.17,20.39,1070.4,77536.0,0,2023,5,2,4,12245.0,Low (<25%)
2023-06-01,W-01,Assam,Lakwa,hyperbolic,349.18,22.59,1070.4,88012.0,0,2023,6,2,5,10475.0,Low (<25%)
2023-07-01,W-01,Assam,Lakwa,hyperbolic,294.87,23.36,1025.7,96858.0,0,2023,7,3,6,8846.0,Low (<25%)
2023-08-01,W-01,Assam,Lakwa,hyperbolic,321.65,27.16,979.8,106507.0,0,2023,8,3,7,9650.0,Medium (25-50%)
2023-09-01,W-01,Assam,Lakwa,hyperbolic,287.73,29.33,979.8,115139.0,0,2023,9,3,8,8632.0,Medium (25-50%)
2023-10-01,W-01,Assam,Lakwa,hyperbolic,283.77,31.21,878.8,123652.0,0,2023,10,4,9,8513.0,Medium (25-50%)
2023-11-01,W-01,Assam,Lakwa,hyperbolic,281.91,32.5,869.7,132109.0,0,2023,11,4,10,8457.0,Medium (25-50%)
2023-12-01,W-01,Assam,Lakwa,hyperbolic,277.28,33.49,844.1,140428.0,0,2023,12,4,11,8318.0,Medium (25-50%)
2024-01-01,W-01,Assam,Lakwa,hyperbolic,256.38,32.84,828.0,148119.0,0,2024,1,1,12,7691.0,Medium (25-50%)
2024-02-01,W-01,Assam,Lakwa,hyperbolic,218.53,33.27,766.5,154675.0,0,2024,2,1,13,6556.0,Medium (25-50%)
2024-03-01,W-01,Assam,Lakwa,hyperbolic,203.78,32.77,766.5,160789.0,0,2024,3,1,14,6113.0,Medium (25-50%)
2024-04-01,W-01,Assam,Lakwa,hyperbolic,205.23,39.26,707.2,166946.0,0,2024,4,2,15,6157.0,Medium (25-50%)
2024-05-01,W-01,Assam,Lakwa,hyperbolic,185.65,37.98,700.4,172515.0,0,2024,5,2,16,5570.0,Medium (25-50%)
2024-06-01,W-01,Assam,Lakwa,hyperbolic,165.44,38.78,664.7,177479.0,0,2024,6,2,17,4963.0,Medium (25-50%)
2024-07-01,W-01,Assam,Lakwa,hyperbolic,151.63,43.23,626.0,182028.0,0,2024,7,3,18,4549.0,Medium (25-50%)
2024-08-01,W-01,Assam,Lakwa,hyperbolic,154.14,40.35,616.7,186652.0,0,2024,8,3,19,4624.0,Medium (25-50%)
2024-09-01,W-01,Assam,Lakwa,hyperbolic,158.07,45.09,586.6,191394.0,0,2024,9,3,20,4742.0,Medium (25-50%)
2024-10-01,W-01,Assam,Lakwa,hyperbolic,151.79,45.28,576.7,195947.0,0,2024,10,4,21,4554.0,Medium (25-50%)
