date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag,year,month,quarter,production_month,oil_rate_bbl_month,wc_category,rolling_baseline_bbl_day,residual,zscore_flag,iqr_flag,anomaly_detected,anomaly_type,deviation_pct
2023-01-01,W-01,Assam,Lakwa,hyperbolic,620.31,15.98,1307.7,18609.0,0,2023,1,1,0,18609.0,Low (<25%),620.31,0.0,False,False,False,Normal,0.0
2023-02-01,W-01,Assam,Lakwa,hyperbolic,557.92,16.1,1274.3,35347.0,0,2023,2,1,1,16738.0,Low (<25%),620.31,-62.389999999999986,False,False,False,Normal,-10.1
2023-03-01,W-01,Assam,Lakwa,hyperbolic,504.53,22.09,1201.6,50483.0,0,2023,3,1,2,15136.0,Low (<25%),589.115,-84.58500000000004,False,False,False,Normal,-14.4
2023-04-01,W-01,Assam,Lakwa,hyperbolic,493.61,20.74,1178.5,65291.0,0,2023,4,2,3,14808.0,Low (<25%),557.92,-64.30999999999995,False,False,False,Normal,-11.5
2023-05-01,W-01,Assam,Lakwa,hyperbolic,408.17,20.39,1070.4,77536.0,0,2023,5,2,4,12245.0,Low (<25%),504.53,-96.35999999999996,False,False,False,Normal,-19.1
2023-06-01,W-01,Assam,Lakwa,hyperbolic,349.18,22.59,1070.4,88012.0,0,2023,6,2,5,10475.0,Low (<25%),493.61,-144.43,True,False,True,Normal,-29.3
2023-07-01,W-01,Assam,Lakwa,hyperbolic,294.87,23.36,1025.7,96858.0,0,2023,7,3,6,8846.0,Low (<25%),408.17,-113.30000000000001,False,False,False,Normal,-27.8
2023-08-01,W-01,Assam,Lakwa,hyperbolic,321.65,27.16,979.8,106507.0,0,2023,8,3,7,9650.0,Medium (25-50%),349.18,-27.53000000000003,False,False,False,Normal,-7.9
2023-09-01,W-01,Assam,Lakwa,hyperbolic,287.73,29.33,979.8,115139.0,0,2023,9,3,8,8632.0,Medium (25-50%),321.65,-33.91999999999996,False,False,False,Normal,-10.5
2023-10-01,W-01,Assam,Lakwa,hyperbolic,283.77,31.21,878.8,123652.0,0,2023,10,4,9,8513.0,Medium (25-50%),294.87,-11.100000000000023,False,False,False,Normal,-3.8
2023-11-01,W-01,Assam,Lakwa,hyperbolic,281.91,32.5,869.7,132109.0,0,2023,11,4,10,8457.0,Medium (25-50%),287.73,-5.819999999999993,False,False,False,Normal,-2.0
2023-12-01,W-01,Assam,Lakwa,hyperbolic,277.28,33.49,844.1,140428.0,0,2023,12,4,11,8318.0,Medium (25-50%),283.77,-6.490000000000009,False,False,False,Normal,-2.3
2024-01-01,W-01,Assam,Lakwa,hyperbolic,256.38,32.84,828.0,148119.0,0,2024,1,1,12,7691.0,Medium (25-50%),281.91,-25.53000000000003,False,False,False,Normal,-9.1
2024-02-01,W-01,Assam,Lakwa,hyperbolic,218.53,33.27,766.5,154675.0,0,2024,2,1,13,6556.0,Medium (25-50%),277.28,-58.74999999999997,False,False,False,Normal,-21.2
2024-03-01,W-01,Assam,Lakwa,hyperbolic,203.78,32.77,766.5,160789.0,0,2024,3,1,14,6113.0,Medium (25-50%),256.38,-52.599999999999994,False,False,False,Normal,-20.5
2024-04-01,W-01,Assam,Lakwa,hyperbolic,205.23,39.26,707.2,166946.0,0,2024,4,2,15,6157.0,Medium (25-50%),218.53,-13.300000000000011,False,False,False,Normal,-6.1
2024-05-01,W-01,Assam,Lakwa,hyperbolic,185.65,37.98,700.4,172515.0,0,2024,5,2,16,5570.0,Medium (25-50%),205.23,-19.579999999999984,False,False,False,Normal,-9.5
2024-06-01,W-01,Assam,Lakwa,hyperbolic,165.44,38.78,664.7,177479.0,0,2024,6,2,17,4963.0,Medium (25-50%),203.78,-38.34,False,False,False,Normal,-18.8
2024-07-01,W-01,Assam,Lakwa,hyperbolic,151.63,43.23,626.0,182028.0,0,2024,7,3,18,4549.0,Medium (25-50%),185.65,-34.02000000000001,False,False,False,Normal,-18.3
2024-08-01,W-01,Assam,Lakwa,hyperbolic,154.14,40.35,616.7,186652.0,0,2024,8,3,19,4624.0,Medium (25-50%),165.44,-11.300000000000011,False,False,False,Normal,-6.8
2024-09-01,W-01,Assam,Lakwa,hyperbolic,158.07,45.09,586.6,191394.0,0,2024,9,3,20,4742.0,Medium (25-50%),154.14,3.930000000000007,False,False,False,Normal,2.5
2024-10-01,W-01,Assam,Lakwa,hyperbolic,151.79,45.28,576.7,195947.0,0,2024,10,4,21,4554.0,Medium (25-50%),154.14,-2.3499999999999943,False,False,False,Normal,-1.5
2024-11-01,W-01,Assam,Lakwa,hyperbolic,151.49,43.88,529.6,200492.0,0,2024,11,4,22,4545.0,Medium (25-50%),154.14,-2.6499999999999773,False,False,False,Normal,-1.7
2024-12-01,W-01,Assam,Lakwa,hyperbolic,147.83,47.08,514.1,204927.0,0,2024,12,4,23,4435.0,Medium (25-50%),151.79,-3.9599999999999795,False,False,False,Normal,-2.6
2023-01-01,W-02,Assam,Lakwa,hyperbolic,588.64,19.3,997.1,17659.0,0,2023,1,1,0,17659.0,Low (<25%),588.64,0.0,False,False,False,Normal,0.0
2023-02-01,W-02,Assam,Lakwa,hyperbolic,499.23,17.16,943.0,32636.0,0,2023,2,1,1,14977.0,Low (<25%),588.64,-89.40999999999997,False,False,False,Normal,-15.2
2023-03-01,W-02,Assam,Lakwa,hyperbolic,392.22,22.29,944.3,44402.0,0,2023,3,1,2,11767.0,Low (<25%),543.935,-151.71499999999992,True,False,True,Normal,-27.9
2023-04-01,W-02,Assam,Lakwa,hyperbolic,416.68,21.0,887.5,56903.0,0,2023,4,2,3,12500.0,Low (<25%),499.23,-82.55000000000001,False,False,False,Normal,-16.5
2023-05-01,W-02,Assam,Lakwa,hyperbolic,383.96,25.68,828.0,68422.0,0,2023,5,2,4,11519.0,Medium (25-50%),416.68,-32.72000000000003,False,False,False,Normal,-7.9
2023-06-01,W-02,Assam,Lakwa,hyperbolic,322.3,25.73,822.6,78091.0,0,2023,6,2,5,9669.0,Medium (25-50%),392.22,-69.92000000000002,False,False,False,Normal,-17.8
2023-07-01,W-02,Assam,Lakwa,hyperbolic,292.56,26.88,766.2,86868.0,0,2023,7,3,6,8777.0,Medium (25-50%),383.96,-91.39999999999998,False,False,False,Normal,-23.8
2023-08-01,W-02,Assam,Lakwa,hyperbolic,309.26,27.5,762.1,96145.0,0,2023,8,3,7,9278.0,Medium (25-50%),322.3,-13.04000000000002,False,False,False,Normal,-4.0
2023-09-01,W-02,Assam,Lakwa,hyperbolic,271.62,30.16,738.2,104294.0,0,2023,9,3,8,8149.0,Medium (25-50%),309.26,-37.639999999999986,False,False,False,Normal,-12.2
2023-10-01,W-02,Assam,Lakwa,hyperbolic,271.62,33.6,680.3,111692.0,0,2023,10,4,9,8149.0,Medium (25-50%),292.56,-20.939999999999998,False,False,False,Normal,-7.2
2023-11-01,W-02,Assam,Lakwa,hyperbolic,261.74,36.18,679.9,119544.0,0,2023,11,4,10,7852.0,Medium (25-50%),271.62,-9.879999999999995,False,False,False,Normal,-3.6
2023-12-01,W-02,Assam,Lakwa,hyperbolic,242.21,36.76,645.5,126810.0,0,2023,12,4,11,7266.0,Medium (25-50%),271.62,-29.409999999999997,False,False,False,Normal,-10.8
2024-01-01,W-02,Assam,Lakwa,hyperbolic,231.32,40.04,626.6,133750.0,0,2024,1,1,12,6940.0,Medium (25-50%),261.74,-30.420000000000016,False,False,False,Normal,-11.6
2024-02-01,W-02,Assam,Lakwa,hyperbolic,201.44,44.0,618.6,139793.0,0,2024,2,1,13,6043.0,Medium (25-50%),242.21,-40.77000000000001,False,False,False,Normal,-16.8
2024-03-01,W-02,Assam,Lakwa,hyperbolic,193.16,39.89,563.3,145588.0,0,2024,3,1,14,5795.0,Medium (25-50%),231.32,-38.16,False,False,False,Normal,-16.5
2024-04-01,W-02,Assam,Lakwa,hyperbolic,180.59,41.73,533.5,151005.0,0,2024,4,2,15,5418.0,Medium (25-50%),201.44,-20.849999999999994,False,False,False,Normal,-10.4
2024-05-01,W-02,Assam,Lakwa,hyperbolic,169.6,40.87,510.1,156093.0,0,2024,5,2,16,5088.0,Medium (25-50%),193.16,-23.560000000000002,False,False,False,Normal,-12.2
2024-06-01,W-02,Assam,Lakwa,hyperbolic,157.88,47.75,490.7,160830.0,0,2024,6,2,17,4736.0,Medium (25-50%),180.59,-22.710000000000008,False,False,False,Normal,-12.6
2024-07-01,W-02,Assam,Lakwa,hyperbolic,149.97,49.57,482.0,165329.0,0,2024,7,3,18,4499.0,Medium (25-50%),169.6,-19.629999999999995,False,False,False,Normal,-11.6
2024-08-01,W-02,Assam,Lakwa,hyperbolic,143.48,46.85,469.4,169633.0,0,2024,8,3,19,4304.0,Medium (25-50%),157.88,-14.400000000000006,False,False,False,Normal,-9.1
2024-09-01,W-02,Assam,Lakwa,hyperbolic,121.88,51.43,450.2,173290.0,0,2024,9,3,20,3656.0,High (50-75%),149.97,-28.090000000000003,False,False,False,Normal,-18.7
2024-10-01,W-02,Assam,Lakwa,hyperbolic,134.55,54.24,441.0,177326.0,0,2024,10,4,21,4037.0,High (50-75%),143.48,-8.929999999999978,False,False,False,Normal,-6.2
2024-11-01,W-02,Assam,Lakwa,hyperbolic,138.17,53.87,411.9,181471.0,0,2024,11,4,22,4145.0,High (50-75%),134.55,3.619999999999976,False,False,False,Normal,2.7
2024-12-01,W-02,Assam,Lakwa,hyperbolic,127.37,56.72,417.4,185292.0,0,2024,12,4,23,3821.0,High (50-75%),134.55,-7.180000000000007,False,False,False,Normal,-5.3
2023-01-01,W-03,Assam,Geleki,exponential,478.47,14.42,1094.6,14354.0,0,2023,1,1,0,14354.0,Low (<25%),478.47,0.0,False,False,False,Normal,0.0
2023-02-01,W-03,Assam,Geleki,exponential,426.53,20.29,1032.3,27150.0,0,2023,2,1,1,12796.0,Low (<25%),478.47,-51.940000000000055,False,False,False,Normal,-10.9
2023-03-01,W-03,Assam,Geleki,exponential,365.86,20.32,967.1,38126.0,0,2023,3,1,2,10976.0,Low (<25%),452.5,-86.63999999999999,False,False,False,Normal,-19.1
2023-04-01,W-03,Assam,Geleki,exponential,316.91,22.88,961.1,47633.0,0,2023,4,2,3,9507.0,Low (<25%),426.53,-109.61999999999995,False,False,False,Normal,-25.7
2023-05-01,W-03,Assam,Geleki,exponential,291.49,22.5,942.0,56378.0,0,2023,5,2,4,8745.0,Low (<25%),365.86,-74.37,False,False,False,Normal,-20.3
2023-06-01,W-03,Assam,Geleki,exponential,244.97,25.19,890.0,63727.0,0,2023,6,2,5,7349.0,Medium (25-50%),316.91,-71.94000000000003,False,False,False,Normal,-22.7
2023-07-01,W-03,Assam,Geleki,exponential,204.57,30.56,817.4,69864.0,0,2023,7,3,6,6137.0,Medium (25-50%),291.49,-86.92000000000002,False,False,False,Normal,-29.8
2023-08-01,W-03,Assam,Geleki,exponential,182.43,29.26,800.0,75337.0,0,2023,8,3,7,5473.0,Medium (25-50%),244.97,-62.53999999999999,False,False,False,Normal,-25.5
2023-09-01,W-03,Assam,Geleki,exponential,27.61,31.68,794.6,76165.0,1,2023,9,3,8,828.0,Medium (25-50%),204.57,-176.95999999999998,True,False,True,Critical Drop,-86.5
2023-10-01,W-03,Assam,Geleki,exponential,146.43,29.61,734.6,80558.0,0,2023,10,4,9,4393.0,Medium (25-50%),182.43,-36.0,False,False,False,Normal,-19.7
2023-11-01,W-03,Assam,Geleki,exponential,142.94,38.5,722.6,84846.0,0,2023,11,4,10,4288.0,Medium (25-50%),146.43,-3.490000000000009,False,False,False,Normal,-2.4
2023-12-01,W-03,Assam,Geleki,exponential,126.86,38.98,699.5,88652.0,0,2023,12,4,11,3806.0,Medium (25-50%),142.94,-16.08,False,False,False,Normal,-11.2
2024-01-01,W-03,Assam,Geleki,exponential,110.64,39.6,647.0,91971.0,0,2024,1,1,12,3319.0,Medium (25-50%),142.94,-32.3,False,False,False,Normal,-22.6
2024-02-01,W-03,Assam,Geleki,exponential,90.03,40.1,647.0,94672.0,0,2024,2,1,13,2701.0,Medium (25-50%),126.86,-36.83,False,False,False,Normal,-29.0
2024-03-01,W-03,Assam,Geleki,exponential,75.71,40.04,561.5,96943.0,0,2024,3,1,14,2271.0,Medium (25-50%),110.64,-34.93000000000001,False,False,False,Moderate Drop,-31.6
2024-04-01,W-03,Assam,Geleki,exponential,75.71,42.47,570.8,99080.0,0,2024,4,2,15,2271.0,Medium (25-50%),90.03,-14.320000000000007,False,False,False,Normal,-15.9
2024-05-01,W-03,Assam,Geleki,exponential,61.81,45.26,559.4,100934.0,0,2024,5,2,16,1854.0,Medium (25-50%),75.71,-13.899999999999991,False,False,False,Normal,-18.4
2024-06-01,W-03,Assam,Geleki,exponential,61.81,43.47,522.4,102443.0,0,2024,6,2,17,1854.0,Medium (25-50%),75.71,-13.899999999999991,False,False,False,Normal,-18.4
2024-07-01,W-03,Assam,Geleki,exponential,45.23,45.42,544.4,103800.0,0,2024,7,3,18,1357.0,Medium (25-50%),61.81,-16.580000000000005,False,False,False,Normal,-26.8
2024-08-01,W-03,Assam,Geleki,exponential,37.73,44.54,478.1,104932.0,0,2024,8,3,19,1132.0,Medium (25-50%),61.81,-24.080000000000005,False,False,False,Moderate Drop,-39.0
2024-09-01,W-03,Assam,Geleki,exponential,33.56,47.91,473.3,105939.0,0,2024,9,3,20,1007.0,Medium (25-50%),45.23,-11.669999999999995,False,False,False,Normal,-25.8
2024-10-01,W-03,Assam,Geleki,exponential,31.22,54.34,463.1,106875.0,0,2024,10,4,21,937.0,High (50-75%),37.73,-6.509999999999998,False,False,False,Normal,-17.3
2024-11-01,W-03,Assam,Geleki,exponential,28.91,51.93,464.6,107742.0,0,2024,11,4,22,867.0,High (50-75%),33.56,-4.650000000000002,False,False,False,Normal,-13.9
2024-12-01,W-03,Assam,Geleki,exponential,24.07,53.53,404.1,108465.0,0,2024,12,4,23,722.0,High (50-75%),31.22,-7.149999999999999,False,False,False,Normal,-22.9
2023-01-01,W-04,Assam,Geleki,exponential,906.38,17.46,1465.6,27191.0,0,2023,1,1,0,27191.0,Low (<25%),906.38,0.0,False,False,False,Normal,0.0
2023-02-01,W-04,Assam,Geleki,exponential,766.07,18.7,1415.3,50173.0,0,2023,2,1,1,22982.0,Low (<25%),906.38,-140.30999999999995,False,False,False,Normal,-15.5
2023-03-01,W-04,Assam,Geleki,exponential,645.99,25.67,1367.6,69553.0,0,2023,3,1,2,19380.0,Medium (25-50%),836.225,-190.235,False,False,False,Normal,-22.7
