date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag
2023-01-01,W-01,Assam,Lakwa,hyperbolic,620.31,15.98,1307.7,18609.0,0
2023-02-01,W-01,Assam,Lakwa,hyperbolic,557.92,16.1,1274.3,35347.0,0
2023-03-01,W-01,Assam,Lakwa,hyperbolic,504.53,22.09,1201.6,50483.0,0
2023-04-01,W-01,Assam,Lakwa,hyperbolic,493.61,20.74,1178.5,65291.0,0
2023-05-01,W-01,Assam,Lakwa,hyperbolic,408.17,20.39,1070.4,77536.0,0
2023-06-01,W-01,Assam,Lakwa,hyperbolic,349.18,22.59,,88012.0,0
2023-07-01,W-01,Assam,Lakwa,hyperbolic,294.87,23.36,1025.7,96858.0,0
2023-08-01,W-01,Assam,Lakwa,hyperbolic,321.65,27.16,979.8,106507.0,0
2023-09-01,W-01,Assam,Lakwa,hyperbolic,287.73,29.33,,115139.0,0
2023-10-01,W-01,Assam,Lakwa,hyperbolic,283.77,31.21,878.8,123652.0,0
2023-11-01,W-01,Assam,Lakwa,hyperbolic,281.91,32.5,869.7,132109.0,0
2023-12-01,W-01,Assam,Lakwa,hyperbolic,277.28,33.49,844.1,140428.0,0
2024-01-01,W-01,Assam,Lakwa,hyperbolic,256.38,32.84,828.0,148119.0,0
2024-02-01,W-01,Assam,Lakwa,hyperbolic,218.53,33.27,766.5,154675.0,0
2024-03-01,W-01,Assam,Lakwa,hyperbolic,203.78,32.77,,160789.0,0
2024-04-01,W-01,Assam,Lakwa,hyperbolic,205.23,39.26,707.2,166946.0,0
2024-05-01,W-01,Assam,Lakwa,hyperbolic,185.65,37.98,700.4,172515.0,0
2024-06-01,W-01,Assam,Lakwa,hyperbolic,165.44,38.78,664.7,177479.0,0
2024-07-01,W-01,Assam,Lakwa,hyperbolic,151.63,43.23,626.0,182028.0,0
2024-08-01,W-01,Assam,Lakwa,hyperbolic,154.14,40.35,616.7,186652.0,0
2024-09-01,W-01,Assam,Lakwa,hyperbolic,158.07,45.09,586.6,191394.0,0
2024-10-01,W-01,Assam,Lakwa,hyperbolic,151.79,45.28,576.7,195947.0,0
2024-11-01,W-01,Assam,Lakwa,hyperbolic,151.49,43.88,529.6,200492.0,0
2024-12-01,W-01,Assam,Lakwa,hyperbolic,147.83,47.08,514.1,204927.0,0
2023-01-01,W-02,Assam,Lakwa,hyperbolic,588.64,19.3,997.1,17659.0,0
2023-02-01,W-02,Assam,Lakwa,hyperbolic,499.23,17.16,943.0,32636.0,0
2023-03-01,W-02,Assam,Lakwa,hyperbolic,392.22,22.29,944.3,44402.0,0
2023-04-01,W-02,Assam,Lakwa,hyperbolic,416.68,21.0,887.5,56903.0,0
2023-05-01,W-02,Assam,Lakwa,hyperbolic,383.96,25.68,828.0,68422.0,0
2023-06-01,W-02,Assam,Lakwa,hyperbolic,322.3,25.73,822.6,78091.0,0
2023-07-01,W-02,Assam,Lakwa,hyperbolic,292.56,26.88,766.2,86868.0,0
2023-08-01,W-02,Assam,Lakwa,hyperbolic,309.26,27.5,762.1,96145.0,0
2023-09-01,W-02,Assam,Lakwa,hyperbolic,271.62,30.16,738.2,104294.0,0
2023-10-01,W-02,Assam,Lakwa,hyperbolic,,33.6,680.3,111692.0,0
2023-11-01,W-02,Assam,Lakwa,hyperbolic,261.74,36.18,679.9,119544.0,0
2023-12-01,W-02,Assam,Lakwa,hyperbolic,242.21,36.76,645.5,126810.0,0
2024-01-01,W-02,Assam,Lakwa,hyperbolic,231.32,40.04,626.6,133750.0,0
2024-02-01,W-02,Assam,Lakwa,hyperbolic,201.44,44.0,618.6,139793.0,0
2024-03-01,W-02,Assam,Lakwa,hyperbolic,193.16,39.89,563.3,145588.0,0
2024-04-01,W-02,Assam,Lakwa,hyperbolic,180.59,41.73,533.5,151005.0,0
2024-05-01,W-02,Assam,Lakwa,hyperbolic,169.6,40.87,510.1,156093.0,0
2024-06-01,W-02,Assam,Lakwa,hyperbolic,157.88,47.75,490.7,160830.0,0
2024-07-01,W-02,Assam,Lakwa,hyperbolic,149.97,49.57,482.0,165329.0,0
2024-08-01,W-02,Assam,Lakwa,hyperbolic,143.48,46.85,469.4,169633.0,0
2024-09-01,W-02,Assam,Lakwa,hyperbolic,121.88,51.43,450.2,173290.0,0
2024-10-01,W-02,Assam,Lakwa,hyperbolic,134.55,54.24,441.0,177326.0,0
2024-11-01,W-02,Assam,Lakwa,hyperbolic,138.17,53.87,411.9,181471.0,0
2024-12-01,W-02,Assam,Lakwa,hyperbolic,127.37,56.72,417.4,185292.0,0
2023-01-01,W-03,Assam,Geleki,exponential,478.47,14.42,1094.6,14354.0,0
2023-02-01,W-03,Assam,Geleki,exponential,426.53,20.29,1032.3,27150.0,0
2023-03-01,W-03,Assam,Geleki,exponential,365.86,20.32,967.1,38126.0,0
2023-04-01,W-03,Assam,Geleki,exponential,316.91,22.88,961.1,47633.0,0
2023-05-01,W-03,Assam,Geleki,exponential,291.49,22.5,942.0,56378.0,0
2023-06-01,W-03,Assam,Geleki,exponential,244.97,25.19,890.0,63727.0,0
2023-07-01,W-03,Assam,Geleki,exponential,204.57,30.56,817.4,69864.0,0
2023-08-01,W-03,Assam,Geleki,exponential,182.43,29.26,800.0,75337.0,0
2023-09-01,W-03,Assam,Geleki,exponential,27.61,31.68,794.6,76165.0,1
2023-10-01,W-03,Assam,Geleki,exponential,146.43,29.61,734.6,80558.0,0
2023-11-01,W-03,Assam,Geleki,exponential,142.94,38.5,722.6,84846.0,0
2023-12-01,W-03,Assam,Geleki,exponential,126.86,38.98,699.5,88652.0,0
2024-01-01,W-03,Assam,Geleki,exponential,110.64,39.6,647.0,91971.0,0
2024-02-01,W-03,Assam,Geleki,exponential,90.03,40.1,,94672.0,0
2024-03-01,W-03,Assam,Geleki,exponential,75.71,40.04,561.5,96943.0,0
2024-04-01,W-03,Assam,Geleki,exponential,,42.47,570.8,99080.0,0
2024-05-01,W-03,Assam,Geleki,exponential,61.81,45.26,559.4,100934.0,0
2024-06-01,W-03,Assam,Geleki,exponential,,43.47,522.4,102443.0,0
2024-07-01,W-03,Assam,Geleki,exponential,45.23,45.42,544.4,103800.0,0
2024-08-01,W-03,Assam,Geleki,exponential,37.73,44.54,478.1,104932.0,0
2024-09-01,W-03,Assam,Geleki,exponential,33.56,47.91,473.3,105939.0,0
2024-10-01,W-03,Assam,Geleki,exponential,31.22,54.34,463.1,106875.0,0
2024-11-01,W-03,Assam,Geleki,exponential,28.91,51.93,464.6,107742.0,0
2024-12-01,W-03,Assam,Geleki,exponential,24.07,53.53,404.1,108465.0,0
2023-01-01,W-04,Assam,Geleki,exponential,906.38,17.46,1465.6,27191.0,0
2023-02-01,W-04,Assam,Geleki,exponential,766.07,18.7,1415.3,50173.0,0
2023-03-01,W-04,Assam,Geleki,exponential,645.99,25.67,1367.6,69553.0,0
2023-04-01,W-04,Assam,Geleki,exponential,597.52,25.9,1331.6,87479.0,0
2023-05-01,W-04,Assam,Geleki,exponential,499.94,22.11,1271.0,102477.0,0
2023-06-01,W-04,Assam,Geleki,exponential,457.08,26.73,1206.4,116189.0,0
2023-07-01,W-04,Assam,Geleki,exponential,390.97,31.96,1161.1,127918.0,0
2023-08-01,W-04,Assam,Geleki,exponential,336.13,29.08,1100.8,138002.0,0
2023-09-01,W-04,Assam,Geleki,exponential,302.1,34.94,1071.8,147065.0,0
2023-10-01,W-04,Assam,Geleki,exponential,287.92,36.65,1025.7,155703.0,0
